               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10234,            0.084957,            0.038577,             0.10725,            0.050508,            0.018602,           0.0055634,             0.08788,            0.065006,            0.027303,            0.070337,           0.0032959,           0.0032959
                   1,            0.081905,             0.08863,            0.023038,             0.63503,             0.17547,             0.10442,            0.035273,            0.072499,            0.057847,            0.016561,            0.040206,            0.006498,            0.006498
                   2,            0.076035,            0.079109,            0.016663,             0.63632,             0.20147,             0.11974,            0.039207,            0.075446,            0.053985,            0.013463,           0.0099426,            0.009568,            0.009568
                   3,            0.069799,            0.074345,            0.014094,             0.69502,             0.25543,             0.20663,            0.094177,            0.055814,            0.056945,            0.011452,            0.009406,            0.009406,            0.009406
                   4,            0.061609,            0.076615,            0.012839,             0.75958,             0.28311,             0.30449,             0.13949,            0.053428,            0.053161,           0.0097867,            0.009406,            0.009406,            0.009406
                   5,            0.056674,            0.078188,            0.011475,             0.56181,             0.44153,             0.36578,             0.18062,            0.047051,              0.0536,           0.0089601,            0.009208,            0.009208,            0.009208
                   6,            0.053953,            0.074979,            0.010741,             0.55582,             0.39589,             0.34232,             0.15042,            0.047302,            0.054218,           0.0084915,             0.00901,             0.00901,             0.00901
                   7,            0.050569,            0.074964,           0.0096695,             0.64297,             0.50088,             0.43658,             0.22089,            0.044242,             0.05152,           0.0070441,            0.008812,            0.008812,            0.008812
                   8,            0.048535,            0.070977,           0.0082207,             0.66148,             0.48239,             0.48673,             0.24142,            0.042798,            0.050977,           0.0063964,            0.008614,            0.008614,            0.008614
                   9,             0.04682,            0.071694,           0.0081512,             0.66245,             0.47204,              0.4475,             0.24547,            0.041572,            0.052256,           0.0075877,            0.008416,            0.008416,            0.008416
                  10,            0.044372,            0.071452,           0.0079548,             0.63829,              0.4987,             0.51042,             0.25403,            0.041591,            0.049873,           0.0062994,            0.008218,            0.008218,            0.008218
                  11,            0.043152,            0.071118,           0.0071482,             0.72897,             0.51971,             0.59603,             0.32688,            0.040277,            0.048725,           0.0057375,             0.00802,             0.00802,             0.00802
                  12,            0.042192,            0.072992,           0.0073141,             0.74333,             0.54109,             0.60017,             0.34809,            0.037112,            0.048405,           0.0051573,            0.007822,            0.007822,            0.007822
                  13,            0.042146,             0.07017,           0.0067515,             0.74534,             0.54115,             0.59446,              0.3306,            0.036742,              0.0502,           0.0053981,            0.007624,            0.007624,            0.007624
                  14,            0.041775,            0.068611,           0.0065029,             0.78243,             0.56706,             0.65843,             0.38305,              0.0379,            0.046735,           0.0048318,            0.007426,            0.007426,            0.007426
                  15,            0.040954,            0.069374,           0.0063162,             0.78909,             0.55633,             0.67972,             0.41186,            0.034225,            0.047402,           0.0044315,            0.007228,            0.007228,            0.007228
                  16,            0.039914,            0.068279,           0.0060644,              0.7907,             0.55821,             0.65441,             0.38585,             0.03583,             0.04689,           0.0044374,             0.00703,             0.00703,             0.00703
                  17,            0.038534,            0.067976,           0.0057787,             0.79903,             0.58766,             0.69852,             0.42483,            0.034907,            0.045523,           0.0042999,            0.006832,            0.006832,            0.006832
                  18,            0.038403,            0.068966,           0.0061604,             0.80423,             0.56258,             0.68455,             0.40211,            0.034856,             0.04647,           0.0042716,            0.006634,            0.006634,            0.006634
                  19,            0.037542,            0.069733,           0.0056811,             0.82508,             0.59072,             0.71719,             0.45792,            0.032768,            0.044058,           0.0038784,            0.006436,            0.006436,            0.006436
                  20,            0.036607,            0.066564,           0.0052833,               0.841,             0.57286,             0.73162,             0.45302,            0.033007,            0.045329,           0.0039468,            0.006238,            0.006238,            0.006238
                  21,             0.03658,            0.067585,            0.005419,             0.83255,             0.59676,             0.72064,              0.4445,            0.033031,            0.043717,            0.003944,             0.00604,             0.00604,             0.00604
