               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10228,            0.085043,            0.038552,            0.042675,            0.051623,            0.019823,           0.0056808,            0.086337,            0.068601,            0.026977,            0.070337,           0.0032959,           0.0032959
                   1,            0.081283,             0.08892,            0.022989,             0.60526,             0.16674,             0.07644,            0.025438,            0.074305,            0.063242,            0.016631,            0.040285,           0.0065767,           0.0065767
                   2,            0.075379,             0.07973,            0.016752,             0.61667,             0.18221,             0.10172,            0.028664,            0.069799,            0.057924,            0.014334,            0.010179,           0.0098047,           0.0098047
                   3,            0.069611,            0.074475,            0.014158,             0.69318,             0.24638,              0.1923,            0.078638,            0.059271,            0.057568,            0.012215,           0.0097624,           0.0097624,           0.0097624
                   4,            0.061577,            0.077184,            0.013143,             0.77929,             0.28566,             0.29103,             0.13651,            0.053546,            0.055289,            0.010589,           0.0097624,           0.0097624,           0.0097624
                   5,            0.056895,            0.078514,            0.011689,             0.78564,             0.31701,             0.34378,             0.16588,            0.048251,            0.055928,           0.0094875,           0.0096832,           0.0096832,           0.0096832
                   6,            0.054643,            0.075019,            0.011193,              0.5316,             0.39732,             0.34616,             0.15636,              0.0485,            0.055115,           0.0084387,            0.009604,            0.009604,            0.009604
                   7,            0.051384,            0.075117,            0.010071,             0.60812,             0.48039,             0.44596,             0.22691,            0.043538,            0.052342,           0.0079009,           0.0095248,           0.0095248,           0.0095248
                   8,            0.049263,            0.071315,           0.0085895,             0.61502,             0.45521,             0.43626,             0.21017,              0.0451,            0.051966,           0.0068165,           0.0094456,           0.0094456,           0.0094456
                   9,            0.047163,            0.072546,           0.0083438,             0.64802,             0.46287,             0.43603,             0.24752,            0.041546,            0.053912,           0.0067129,           0.0093664,           0.0093664,           0.0093664
                  10,            0.044968,            0.071634,           0.0080831,             0.66548,             0.52736,             0.54093,             0.28692,            0.040412,            0.050231,           0.0060754,           0.0092872,           0.0092872,           0.0092872
                  11,            0.044685,            0.070858,           0.0072071,             0.72279,             0.52326,             0.58164,             0.31343,            0.040583,            0.050199,             0.00592,            0.009208,            0.009208,            0.009208
                  12,            0.044038,             0.07278,           0.0074563,             0.74655,             0.53152,             0.63436,              0.3561,            0.038594,            0.049371,           0.0055337,           0.0091288,           0.0091288,           0.0091288
                  13,            0.043636,            0.070538,           0.0069042,             0.70887,             0.52267,             0.56481,             0.30775,            0.037834,            0.049368,           0.0056414,           0.0090496,           0.0090496,           0.0090496
                  14,            0.043209,            0.069167,           0.0065931,             0.73063,             0.51585,             0.59016,             0.33809,            0.040657,             0.04904,           0.0053281,           0.0089704,           0.0089704,           0.0089704
                  15,            0.042336,            0.069888,           0.0065344,             0.78457,             0.55623,              0.6872,              0.3937,            0.035982,            0.047495,           0.0047181,           0.0088912,           0.0088912,           0.0088912
                  16,            0.041083,            0.068875,           0.0062714,             0.77722,             0.50684,              0.6082,              0.3543,            0.038068,            0.053051,           0.0046265,            0.008812,            0.008812,            0.008812
                  17,            0.039982,            0.068441,           0.0059082,             0.79267,             0.56015,             0.67393,             0.41047,            0.035307,            0.048392,           0.0046644,           0.0087328,           0.0087328,           0.0087328
                  18,            0.040338,            0.069505,           0.0062039,             0.56196,             0.66032,             0.64625,             0.35966,            0.037239,            0.051225,           0.0047403,           0.0086536,           0.0086536,           0.0086536
                  19,            0.038671,            0.070825,           0.0057429,             0.80858,              0.5665,             0.71365,             0.44925,            0.033199,            0.046868,           0.0046284,           0.0085744,           0.0085744,           0.0085744
                  20,            0.037612,            0.067297,           0.0054288,             0.65947,              0.7105,             0.72251,             0.43294,            0.033219,            0.046853,           0.0041823,           0.0084952,           0.0084952,           0.0084952
                  21,            0.038391,            0.068886,           0.0054787,              0.5384,             0.75246,             0.71426,              0.4291,            0.033654,            0.045122,           0.0041192,            0.008416,            0.008416,            0.008416
                  22,            0.038365,            0.064089,           0.0054469,              0.8134,             0.58531,             0.74185,              0.4423,            0.036088,            0.045692,           0.0040224,           0.0083368,           0.0083368,           0.0083368
